Gender,Stroke,PrelimsTime,FinalsTime,Lane
M,Fly,56.87,56.82,Outside
M,Fly,60.16,59.43,Inside
M,Fly,65.15,64.35,Inside
F,Breast,68.36,69.24,Inside
F,Breast,70.08,70.82,Inside
F,Breast,75.21000000000001,74.59,Outside
F,Breast,75.86,76.36,Outside
F,Breast,76.27,76.07,Inside
F,Breast,77.3,77.19,Inside
F,Breast,85.36,85.53,Outside
F,Breast,89.91,88.34,Outside
M,Breast,57.45,58.25,Inside
M,Breast,63.64,63.36,Outside
M,Breast,64.43,64.15,Outside
M,Breast,65.28,64.76,Inside
M,Breast,66.1,65.06,Inside
M,Breast,81.17,79.68,Outside
M,Breast,87.7,83.74,Outside
F,Back,60.68,60.01,Inside
F,Back,62.0,60.33,Inside
F,Back,73.35,70.64,Outside
F,Back,75.21000000000001,74.78999999999999,Outside
F,Back,79.24,77.72,Inside
F,Back,83.48,84.48,Inside
M,Back,54.52,54.47,Inside
M,Back,54.33,54.72,Inside
M,Back,60.44,58.76,Outside
M,Back,60.91,60.85,Outside
M,Back,63.91,63.73,Inside
M,Back,64.47,64.19,Inside
M,Back,76.69,76.72,Outside
F,Free,55.36,54.92,Inside
F,Free,55.42,55.45,Inside
F,Free,58.52,58.03,Outside
F,Free,60.21,60.69,Outside
F,Free,64.56,62.82,Inside
F,Free,65.52,64.63,Outside
F,Free,64.15,64.98,Inside
F,Free,65.43,67.23,Outside
M,Free,46.78,45.61,Inside
M,Free,47.17,46.89,Inside
M,Free,48.99,48.37,Outside
M,Free,49.4,49.13,Outside
M,Free,50.17,48.57,Inside
M,Free,53.69,52.36,Outside
M,Free,53.38,53.74,Outside
M,Free,50.96,53.91,Inside
F,Fly,60.25,57.54,Inside
F,Fly,62.42,59.05,Inside
F,Fly,63.96,61.94,Outside
F,Fly,65.85,64.11,Outside
F,Fly,67.22,67.75,Inside
F,Fly,72.2,72.51,Inside
F,Fly,78.77,79.21000000000001,Outside
M,Fly,51.0,49.52,Inside
M,Fly,50.65,49.75,Inside
M,Fly,55.86,55.57,Outside
M,Fly,58.18,55.89,Outside
M,Fly,58.84,58.74,Inside
F,Breast,68.37,64.05,Inside
F,Breast,71.3,70.72,Inside
F,Breast,77.96000000000001,77.71000000000001,Outside
F,Breast,78.49,78.36,Outside
F,Breast,78.75,78.86,Inside
F,Breast,80.91,79.36,Inside
